index,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
dia2_utt0,['none'],['annoyed'],['to thank personx'],['untrustworthy'],['gets yelled at'],['to be left alone'],['none'],['happy'],['to be left alone']
dia2_utt2,['none'],['none'],['none'],['confident'],['none'],['to be a better person'],['none'],['good'],['to be a better person']
dia2_utt3,['none'],['none'],['none'],['tough'],['none'],['to be tough'],['none'],['strong'],['to be tough on others']
dia2_utt4,['none'],['none'],['none'],['unprepared'],['none'],['none'],['none'],['sad'],['to do something else']
dia2_utt5,['none'],['none'],['none'],['emotional'],['none'],['none'],['to have a bad relationship'],['sad'],['to get a new job']
dia2_utt6,['none'],['grateful'],['none'],['controlling'],['none'],['to be helpful'],['none'],['satisfied'],['to get paid']
dia2_utt7,['none'],['none'],['none'],['determined'],['none'],['to be a good child'],['none'],['satisfied'],['to be a good child']
dia2_utt9,['none'],['none'],['none'],['unskilled'],['none'],['none'],['none'],['sad'],['to get a drink']
dia2_utt10,['none'],['none'],['none'],['proud'],['none'],['none'],['none'],['happy'],['to be the best']
dia2_utt12,['none'],['none'],['none'],['interested'],['none'],['none'],['none'],['happy'],['to get it']
dia2_utt13,['none'],['none'],['none'],['mean'],['but none'],['to be mean'],['none'],['annoyed'],['other things']
dia2_utt14,['none'],['none'],['none'],['sad'],['none'],['none'],['none'],['sad'],['to be a better person']
dia2_utt15,['none'],['none'],['none'],['determined'],['none'],['to be a good friend'],['none'],['happy'],['to get a drink']
dia2_utt16,['none'],['none'],['none'],['curious'],['none'],['none'],['none'],['happy'],['to tell everyone']
dia33_utt0,['none'],['none'],['none'],['scared'],['none'],['none'],['none'],['upset'],['to get away with it']
dia33_utt2,['none'],['none'],['none'],['racist'],['none'],['none'],['none'],['proud'],['to be a good person']
dia33_utt3,['none'],['none'],['none'],['curious'],['none'],['none'],['none'],['happy'],['to get a good grade']
dia33_utt4,['none'],['none'],['none'],['careless'],['none'],['none'],['none'],['sad'],['to forget about the german germany']
dia33_utt5,['none'],['none'],['none'],['thoughtful'],['none'],['none'],['none'],['sad'],['to remember']
