index	oReact_retrieval	xReact_retrieval
dia2_utt0	Others feel mad, none, none	Amy feels mad, none, none
dia2_utt1	Others feel scared, paranoid, thoughtful	Amy feels scared, paranoid, thoughtful
dia2_utt2	Others feel happy, proud, like a winner	Amy feels happy, proud, like a winner
dia2_utt3	Others feel talented, none, none	Jonah feels talented, none, none
dia2_utt4	Others feel happy, expectant, happy and satisfied	Jonah feels happy, expectant, happy and satisfied
dia2_utt5	Others feel sad, none, none	Amy feels sad, none, none
dia2_utt6	Others feel guilty, bad, a sense of accomplishment from his self promotion	Amy feels guilty, bad, a sense of accomplishment from his self promotion
dia2_utt7	Others feel accepting, thrilled, happy	Amy feels accepting, thrilled, happy
dia2_utt8	Others feel ready, excited, better	Jonah feels ready, excited, better
dia2_utt9	Others feel satisfied, none, none	Amy feels satisfied, none, none
dia2_utt10	Others feel irritated, helpful, good	Jonah feels irritated, helpful, good
dia2_utt11	Others feel helped., happy, knowledgeable	Jonah feels helped., happy, knowledgeable
dia2_utt12	Others feel like a good friend, anticipation, bored	Amy feels like a good friend, anticipation, bored
dia2_utt13	Others feel richer, competent, excited to be out on the water	Jonah feels richer, competent, excited to be out on the water
dia2_utt14	Others feel good, like they are making the right decisions, none	Amy feels good, like they are making the right decisions, none
dia2_utt15	Others feel like they made a good decision., glad to have been given importance, happy	Jonah feels like they made a good decision., glad to have been given importance, happy
dia2_utt16	Others feel comfortable, that they have what they need, prepared	Jonah feels comfortable, that they have what they need, prepared
dia33_utt0	Others feel smart for thinking ahead, safe., none	Jeff feels smart for thinking ahead, safe., none
dia33_utt1	Others feel generous, helpful, good about themselves	Jeff feels generous, helpful, good about themselves
dia33_utt2	Others feel none, none, pleased to have endangered anyone.	Glenn feels none, none, pleased to have endangered anyone.
dia33_utt3	Others feel happy to help, excited to help, none	Kelly feels happy to help, excited to help, none
dia33_utt4	Others feel less hungry, thankful, grateful	Jeff feels less hungry, thankful, grateful
dia33_utt5	Others feel none, good., none	Cheyenne feels none, good., none
dia33_utt6	Others feel smart for thinking ahead, safe., none	Jeff feels smart for thinking ahead, safe., none
dia33_utt7	Others feel intrigued, satisfied, connected to persony	Jeff feels intrigued, satisfied, connected to persony
dia33_utt8	Others feel none, none, like he's in control	Jeff feels none, none, like he's in control
dia33_utt9	Others feel satified with his job, good and productive., proud	Jeff feels satified with his job, good and productive., proud
dia33_utt10	Others feel good, unsure, helpful	superstore person3 feels good, unsure, helpful
dia33_utt11	Others feel full, satisfied, none	superstore person3 feels full, satisfied, none
dia33_utt12	Others feel none, none, pleased to have endangered anyone.	Jeff feels none, none, pleased to have endangered anyone.
dia33_utt13	Others feel happy to have talked to their son., happy, communicative	Jeff feels happy to have talked to their son., happy, communicative
dia33_utt14	Others feel none, like that have a new friend, happy	Amy feels none, like that have a new friend, happy
dia33_utt15	Others feel like they are heading in the right direction, happy, none	Jeff feels like they are heading in the right direction, happy, none
dia33_utt16	Others feel none, none, pleased to have endangered anyone.	Jeff feels none, none, pleased to have endangered anyone.
dia33_utt17	Others feel regretful and foolish, scared., none	Jeff feels regretful and foolish, scared., none
dia34_utt0	Others feel the picture was beauty, happy, excited	Garrett feels the picture was beauty, happy, excited
dia34_utt1	Others feel none, none, pleased	Glenn feels none, none, pleased
dia34_utt2	Others feel none, none, satisfied	superstore person4 feels none, none, satisfied
dia44_utt0	Others feel satisfied and proud, also very happy, none	Nico feels satisfied and proud, also very happy, none
dia44_utt1	Others feel grateful, happy, relieved	superstore person1 feels grateful, happy, relieved
dia44_utt2	Others feel scared, satisfied, giving	Cheyenne feels scared, satisfied, giving
dia44_utt3	Others feel happy., expectant to win, excited	Cheyenne feels happy., expectant to win, excited
dia44_utt4	Others feel relieved, helpful, relieved	superstore person1 feels relieved, helpful, relieved
dia44_utt5	Others feel ready ., like he won't run out of fuel, neutral	superstore person1 feels ready ., like he won't run out of fuel, neutral
dia44_utt7	Others feel worried, lied to, high-class	Cheyenne feels worried, lied to, high-class
dia44_utt8	Others feel glad to get there, none, none	Cheyenne feels glad to get there, none, none
dia44_utt9	Others feel satisfied, accomplished, satsfied	Cheyenne feels satisfied, accomplished, satsfied
dia44_utt10	Others feel x feels pride or angry, depending upon the conclusion, relieved, relaxed	Nico feels x feels pride or angry, depending upon the conclusion, relieved, relaxed
dia44_utt11	Others feel none, none, caring	Cheyenne feels none, none, caring
dia44_utt12	Others feel tired, disappointed, grateful	Nico feels tired, disappointed, grateful
dia44_utt13	Others feel like he as something good for people to see, informed about something he has, great, sexy	Cheyenne feels like he as something good for people to see, informed about something he has, great, sexy
dia44_utt14	Others feel none, none, exhausted	Cheyenne feels none, none, exhausted
dia44_utt15	Others feel glad, satisfied, grateful for the money	Cheyenne feels glad, satisfied, grateful for the money
dia44_utt16	Others feel none, none, none	Nico feels none, none, none
dia44_utt17	Others feel none, none, none	Nico feels none, none, none
dia66_utt0	Others feel happy, good, talkative	Glenn feels happy, good, talkative
dia66_utt1	Others feel bitter for bringing y home, ill treated, concerned	Amy feels bitter for bringing y home, ill treated, concerned
dia66_utt2	Others feel amazed, excited, satisfied	Nico feels amazed, excited, satisfied
dia66_utt3	Others feel amazed, excited, none	Nico feels amazed, excited, none
dia66_utt4	Others feel exhausted, studied, watched	Dina feels exhausted, studied, watched
dia66_utt5	Others feel none, none, amorous	Glenn feels none, none, amorous
dia66_utt6	Others feel none, embraced, happy	Dina feels none, embraced, happy
